datetime,deviceId,shortDeviceId,rssi,position,weightKg,heightM,batteryPowerV,humidityRhp,temperatureC,pressureKpa,accelerationXg,accelerationYg,accelerationZg
2018-03-07T12:05:48.976Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.33,0.83,0.31,0.23
2018-03-07T12:05:59.973Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.34,0.93,0.35,0.18
2018-03-07T12:06:07.976Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.33,0.82,0.34,0.25
2018-03-07T12:06:15.972Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.37,0.80,0.23,0.10
2018-03-07T12:06:17.977Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.29,0.97,0.32,0.30
2018-03-07T12:06:18.971Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.34,0.89,0.25,0.22
2018-03-07T12:06:19.975Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.33,0.84,0.36,0.12
2018-03-07T12:06:22.978Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.33,0.83,0.32,0.18
2018-03-07T12:06:28.973Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.42,1.10,0.31,0.13
2018-03-07T12:06:31.974Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.34,0.71,0.32,0.20
2018-03-07T12:06:32.971Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.37,0.76,0.32,0.26
2018-03-07T12:06:33.974Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.37,0.65,0.36,0.17
2018-03-07T12:06:37.980Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.35,0.78,0.44,0.34
2018-03-07T12:06:41.973Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.37,0.66,0.38,0.45
2018-03-07T12:06:42.973Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.28,0.88,0.36,0.26
2018-03-07T12:06:44.979Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.32,0.81,0.37,0.42
2018-03-07T12:06:45.979Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.33,0.96,0.42,0.27
2018-03-07T12:06:47.977Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.34,0.60,0.22,0.12
2018-03-07T12:06:51.979Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.30,1.45,0.28,0.28
2018-03-07T12:06:54.981Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.32,1.07,0.47,0.19
2018-03-07T12:06:55.971Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.32,1.06,0.35,0.11
2018-03-07T12:06:56.978Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.34,1.10,0.40,0.14
2018-03-07T12:06:59.977Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.29,1.00,0.39,0.22
2018-03-07T12:07:00.980Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.29,0.93,0.53,0.22
2018-03-07T12:07:01.978Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.31,1.04,0.51,0.14
2018-03-07T12:07:02.979Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.31,0.80,0.50,0.14
2018-03-07T12:07:03.979Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.29,0.86,0.30,0.30
2018-03-07T12:07:05.973Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.32,0.77,0.35,0.01
2018-03-07T12:07:06.973Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.31,0.96,0.36,0.08
2018-03-07T12:07:08.975Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.30,0.71,0.46,0.02
2018-03-07T12:07:09.975Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.34,0.79,0.48,0.27
2018-03-07T12:07:11.976Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.32,0.86,0.31,0.20
2018-03-07T12:07:13.975Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.29,0.89,0.37,0.04
2018-03-07T12:07:14.977Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.30,0.89,0.29,0.13
2018-03-07T12:07:22.973Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.31,1.08,0.35,0.15
2018-03-07T12:07:24.974Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.30,0.92,0.37,0.15
2018-03-07T12:07:26.977Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.27,0.53,0.27,0.04
2018-03-07T12:07:28.974Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.29,0.89,0.24,0.13
2018-03-07T12:07:30.971Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.31,0.79,0.30,0.08
2018-03-07T12:07:31.971Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.28,1.38,0.22,-0.15
2018-03-07T12:07:33.972Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.69,99.30,1.02,0.27,0.42
2018-03-07T12:07:37.974Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.32,1.06,0.39,0.22
2018-03-07T12:07:38.978Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.24,0.84,0.29,0.17
2018-03-07T12:07:39.976Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.28,1.05,0.42,0.20
2018-03-07T12:07:46.975Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.34,0.95,0.36,0.30
2018-03-07T12:07:51.972Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.29,1.16,0.32,-0.04
2018-03-07T12:07:52.976Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.31,1.10,0.28,0.19
2018-03-07T12:07:53.972Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.69,99.28,0.86,0.25,-0.05
2018-03-07T12:07:54.971Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.31,1.09,0.34,0.15
2018-03-07T12:07:56.974Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.29,0.97,0.47,0.19
2018-03-07T12:07:57.969Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.69,99.25,0.89,0.39,0.15
2018-03-07T12:07:59.974Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.30,0.89,0.24,0.38
2018-03-07T12:08:02.978Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.30,1.07,0.33,0.17
2018-03-07T12:08:05.976Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.71,99.32,1.13,0.49,0.22
2018-03-07T12:08:08.973Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.31,0.95,0.40,0.16
2018-03-07T12:08:09.969Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.32,0.88,0.32,0.25
2018-03-07T12:08:12.978Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.69,99.28,0.96,0.23,0.14
2018-03-07T12:08:23.973Z,d084b52e0d6b,0d6b,-86,crew-a-belt,105,120,12,34,23.70,99.30,0.88,0.33,0.18
